traveler_id,start_location,destination,days_stayed,budget_tier,pace,places_visited,famous_things_to_do,food_preference,restaurant,best_dish,transport_to_destination,transport_name,local_transport,rating
1222,San Francisco,"Tokyo, Japan",7,Mid-Range,Moderate,"Senso-ji Temple, Shibuya Crossing, Tokyo Skytree, Imperial Palace East Gardens","Anime shopping in Akihabara, Taking a Fuji day trip",Non-Vegetarian,Omoide Yokocho street stalls,Pan-fried Gyoza,Bus,Tokyo Intercity Express,subway,4.5
1223,New Delhi,"New Delhi, Delhi NCR",7,Budget,Relaxed,"India Gate memorial, Lotus Temple, Humayun's Tomb, Red Fort","Rickshaw ride in Chandni Chowk lanes, Exploring heritage Lodhi gardens, Tasting golgappa street foods",Local,Bukhara ITC Maurya,Stuffed Mixed Paranthas,Flight,Sichuan Airlines 3U-2433,auto-rickshaw,4.4
1224,Mumbai,"Kolkata, West Bengal",7,Mid-Range,Moderate,"Dakshineswar Kali Temple, Victoria Memorial, Indian Museum","Tasting Roshogollas at K.C. Das, Exploring Kumartuli clay artisan village, Watching Hooghly sunset at Princep Ghat",Vegetarian,Kusum Kathi Rolls,Mishti Doi and Sandesh desserts,Bus,Kolkata Intercity Express,yellow taxi,4.4
1225,Mumbai,"Kolkata, West Bengal",7,Mid-Range,Fast,"Dakshineswar Kali Temple, Princep Ghat Boating, Victoria Memorial, Howrah Bridge","Watching Hooghly sunset at Princep Ghat, Exploring Kumartuli clay artisan village, Riding a heritage Kolkata tram",Non-Vegetarian,Arsalan Mughlai Restaurant,Double Egg Chicken Kathi Roll,Flight,American Airlines AA-1754,walking,4.7
1226,Hyderabad,"Bali, Indonesia",7,Budget,Fast,"Tirta Empul Water Temple, Tegallalang Rice Terraces, Ubud Monkey Forest, Kelingking Cliff Penida","Participating in water purification, Riding a giant valley swing",Non-Vegetarian,Penida Espresso,Grilled Red Snapper,Bus,Bali Intercity Express,fast speedboat,4.4
1227,London,"Jaipur, Rajasthan",7,Mid-Range,Relaxed,"Hawa Mahal, City Palace, Jal Mahal Lake, Jantar Mantar","Traditional hand-block printing, Rajasthani folk dance evening, Royal fort trekking",Local,Tapri The Tea House,Pyaaz Kachori,Flight,Afriqiyah Airways 8U-2365,e-rickshaw,4.9
1228,New Delhi,"Paris, France",7,Budget,Fast,"Sacré-Cœur Basilica, Luxembourg Gardens, Eiffel Tower, Louvre Museum","Seine River twilight cruise, Boutique shopping in Marais",Local,La Maison Rose Montmartre,French Onion Soup,Bus,Paris Intercity Express,velib bicycle,4.6
1229,Paris,"New York City, USA",7,Mid-Range,Relaxed,"High Line Park, Brooklyn Bridge, Empire State Building, Statue of Liberty","Renting a bicycle in Central Park, Picnicking in Bryant Park, Watching a Broadway musical",Vegetarian,Juliana's Pizza DUMBO,Hot Pastrami Sandwich,Flight,American Airlines AA-447,subway,4.3
1230,New York,"Bali, Indonesia",7,Budget,Fast,"Kelingking Cliff Penida, Tirta Empul Water Temple, Tegallalang Rice Terraces","Participating in water purification, Sunset Kecak Fire Dance, Hiking Mount Batur at sunrise",Local,Penida Espresso,Nasi Goreng,Flight,Jet Airways 9W-960,walking,4.9
1231,Singapore,"Paris, France",7,Budget,Moderate,"Palace of Versailles, Eiffel Tower, Luxembourg Gardens, Louvre Museum","Picnicking in Luxembourg Gardens, Boutique shopping in Marais, Climbing the Eiffel Tower summit",Local,Le Comptoir du Relais,Butter Croissants,Bus,Paris Intercity Express,walking,4.3
1232,Dubai,"Bali, Indonesia",7,Budget,Moderate,"Ubud Monkey Forest, Kelingking Cliff Penida, Tirta Empul Water Temple, Tegallalang Rice Terraces","Participating in water purification, Sunset Kecak Fire Dance, Hiking Mount Batur at sunrise",Non-Vegetarian,Penida Espresso,Nasi Goreng,Train,Bali Intercity Express,scooter,4.8
1233,Hyderabad,"Mumbai, Maharashtra",7,Luxury,Relaxed,"Chhatrapati Shivaji Terminus, Dhobi Ghat Mahalaxmi, Elephanta Island Caves, Haji Ali ocean mosque","Vectoring basalt cave temples, Ferry ride across harbor, Watching Dabbawalas sort lunches",Vegetarian,Leopold Cafe Colaba,Berry Pulav Parsi style,Flight,Air Berlin AB-988,metered auto,4.7
1234,Mumbai,"New Delhi, Delhi NCR",7,Budget,Relaxed,"Akshardham Temple, Red Fort, Lotus Temple, India Gate memorial","Rickshaw ride in Chandni Chowk lanes, Tasting golgappa street foods, Bargain shopping in Connaught Place",Mixed,Saravana Bhavan CP,Sweet Shahi Tukda,Train,New Delhi Intercity Express,private taxi,4.7
1235,Mumbai,"Tokyo, Japan",7,Budget,Moderate,"Senso-ji Temple, Tokyo Skytree, Meiji Jingu Shrine","Anime shopping in Akihabara, Walking the Shibuya Scramble",Non-Vegetarian,Daiwa Sushi Tsukiji,Tonkotsu Ramen,Bus,Tokyo Intercity Express,walking,4.5
1236,Mumbai,"Rome, Italy",7,Luxury,Fast,"Pantheon, Vatican Museums, Spanish Steps, St. Peter's Basilica","Walking through bohemian Trastevere, Hands-on pasta making class, Cycling the Appian Way",Local,Felice a Testaccio,Artisanal Gelato,Bus,Rome Intercity Express,metro,4.6
1237,Dubai,"Kolkata, West Bengal",7,Budget,Fast,"Dakshineswar Kali Temple, Science City, Victoria Memorial","Exploring Kumartuli clay artisan village, Taking a yellow taxi ride over Howrah Bridge, Riding a heritage Kolkata tram",Non-Vegetarian,Flurys British Tea Room,Double Egg Chicken Kathi Roll,Bus,Kolkata Intercity Express,yellow taxi,4.5
1238,Bengaluru,"Bali, Indonesia",7,Mid-Range,Moderate,"Tegallalang Rice Terraces, Tirta Empul Water Temple, Ubud Monkey Forest, Kelingking Cliff Penida","Riding a giant valley swing, Hiking Mount Batur at sunrise, Participating in water purification",Local,Sari Organik fields,Gourmet Smoothie Bowl,Bus,Bali Intercity Express,private taxi,4.6
1239,Hyderabad,"Rome, Italy",7,Budget,Moderate,"Trevi Fountain, Pantheon, Vatican Museums","Cycling the Appian Way, Hands-on pasta making class, Walking through bohemian Trastevere",Vegetarian,Pizzeria Da Baffetto,Tiramisu,Flight,American Airlines AA-1802,walking,4.3
1240,Tokyo,"Rome, Italy",7,Budget,Relaxed,"Colosseum, St. Peter's Basilica, Vatican Museums","Walking through bohemian Trastevere, Throwing coins in Trevi Fountain, Cycling the Appian Way",Local,Luzi Trattoria Colosseo,Artisanal Gelato,Train,Rome Intercity Express,walking,4.4
1241,Dubai,"New York City, USA",7,Luxury,Relaxed,"High Line Park, Brooklyn Bridge, Statue of Liberty","Renting a bicycle in Central Park, Walking across the Brooklyn Bridge",Local,Juliana's Pizza DUMBO,Adobada Tacos,Flight,Air Canada AC-1988,walking,4.5
1242,Mumbai,"Mumbai, Maharashtra",7,Mid-Range,Relaxed,"Gateway of India, Chhatrapati Shivaji Terminus, Marine Drive Queen's Necklace, Elephanta Island Caves","Ferry ride across harbor, Vectoring basalt cave temples",Non-Vegetarian,Cafe Mondegar Colaba,Keema Pav platter,Flight,Air Canada AC-799,metered auto,4.7
1243,Kolkata,"Mumbai, Maharashtra",7,Luxury,Fast,"Gateway of India, Dhobi Ghat Mahalaxmi, Chhatrapati Shivaji Terminus","Renting bicycles in forest, Ferry ride across harbor, Watching Dabbawalas sort lunches",Vegetarian,Bademiya late-night grill,Butter Garlic Crab,Train,Mumbai Intercity Express,metered auto,4.3
1244,Pune,"Tokyo, Japan",7,Luxury,Relaxed,"Shibuya Crossing, Meiji Jingu Shrine, Tokyo Skytree","Walking the Shibuya Scramble, Taking a Fuji day trip",Local,Gyoza Lou Harajuku,Tonkotsu Ramen,Bus,Tokyo Intercity Express,subway,4.7
1245,London,"Jaipur, Rajasthan",7,Luxury,Moderate,"Jal Mahal Lake, Nahargarh Fort, Amber Fort","Rajasthani folk dance evening, Traditional hand-block printing",Mixed,Chokhi Dhani resort,Traditional sweet Malpua,Bus,Jaipur Intercity Express,auto-rickshaw,4.4
1246,Bengaluru,"New Delhi, Delhi NCR",7,Mid-Range,Fast,"Humayun's Tomb, Lotus Temple, India Gate memorial","Exploring heritage Lodhi gardens, Tasting golgappa street foods",Vegetarian,Karim's Old Delhi,Spicy Chole Bhature,Train,New Delhi Intercity Express,auto-rickshaw,4.5
1247,Dubai,"Mumbai, Maharashtra",7,Luxury,Relaxed,"Marine Drive Queen's Necklace, Gateway of India, Chhatrapati Shivaji Terminus, Dhobi Ghat Mahalaxmi","Vectoring basalt cave temples, Ferry ride across harbor",Mixed,Cafe Mondegar Colaba,Butter Garlic Crab,Flight,Azul AD-1661,walking,4.3
1248,London,"Jaipur, Rajasthan",7,Budget,Moderate,"Nahargarh Fort, Jal Mahal Lake, City Palace, Hawa Mahal","Bapu Bazaar leather shopping, Traditional hand-block printing, Royal fort trekking",Local,Caffe Palladio,Lal Maas spicy mutton,Train,Jaipur Intercity Express,auto-rickshaw,4.7
1249,Mumbai,"Agra & Taj Mahal, UP",7,Luxury,Fast,"Agra Fort, Taj Mahal, Fatehpur Sikri","Exploring massive red-stone forts, Watching Taj sunrise",Vegetarian,Mama Chicken Franky,Butter Chicken,Bus,Agra & Taj Mahal Intercity Express,e-rickshaw,4.6
1250,Hyderabad,"Kolkata, West Bengal",7,Luxury,Fast,"Dakshineswar Kali Temple, Indian Museum, Victoria Memorial, Howrah Bridge","Riding a heritage Kolkata tram, Watching Hooghly sunset at Princep Ghat",Non-Vegetarian,Peter Cat Park Street,Chelomesh mixed platter,Bus,Kolkata Intercity Express,Kolkata Metro,4.6
1251,Tokyo,"Kolkata, West Bengal",7,Luxury,Fast,"Dakshineswar Kali Temple, Princep Ghat Boating, Victoria Memorial","Exploring Kumartuli clay artisan village, Watching Hooghly sunset at Princep Ghat, Riding a heritage Kolkata tram",Non-Vegetarian,6 Ballygunge Place Bengali,Chelomesh mixed platter,Bus,Kolkata Intercity Express,Kolkata Metro,4.4
1252,Chennai,"Mumbai, Maharashtra",7,Budget,Fast,"Marine Drive Queen's Necklace, Haji Ali ocean mosque, Dhobi Ghat Mahalaxmi, Elephanta Island Caves","Renting bicycles in forest, Ferry ride across harbor",Vegetarian,Trishna seafood diner,Keema Pav platter,Flight,Air Berlin AB-255,yellow-black taxi,4.4
1253,London,"Agra & Taj Mahal, UP",7,Luxury,Moderate,"Mathura Krishna Janmabhoomi, Agra Fort, Taj Mahal, Tomb of Akbar","Marble-inlay souvenir shopping, Watching Taj sunrise",Vegetarian,Pinch of Spice,Hot Mughlai chicken rolls,Bus,Agra & Taj Mahal Intercity Express,e-rickshaw,4.3
1254,Mumbai,"New York City, USA",7,Budget,Relaxed,"High Line Park, Central Park, Times Square, Empire State Building","Watching a Broadway musical, Picnicking in Bryant Park, Walking across the Brooklyn Bridge",Non-Vegetarian,Joe's Pizza Times Square,Hot Pastrami Sandwich,Bus,New York City Intercity Express,yellow taxi,5.0
1255,Paris,"Paris, France",7,Luxury,Moderate,"Sacré-Cœur Basilica, Palace of Versailles, Eiffel Tower","Seine River twilight cruise, Picnicking in Luxembourg Gardens",Local,La Maison Rose Montmartre,Escargot,Flight,American Airlines AA-1389,walking,4.3
1256,New Delhi,"Bali, Indonesia",7,Luxury,Fast,"Kelingking Cliff Penida, Tegallalang Rice Terraces, Ubud Monkey Forest, Tirta Empul Water Temple","Hiking Mount Batur at sunrise, Sunset Kecak Fire Dance, Participating in water purification",Local,Sari Organik fields,Gourmet Smoothie Bowl,Train,Bali Intercity Express,fast speedboat,4.7
1257,Dubai,"New Delhi, Delhi NCR",7,Luxury,Relaxed,"Akshardham Temple, Qutub Minar, Lotus Temple, Red Fort","Tasting golgappa street foods, Bargain shopping in Connaught Place, Exploring heritage Lodhi gardens",Vegetarian,Bukhara ITC Maurya,Sweet Shahi Tukda,Bus,New Delhi Intercity Express,e-rickshaw,4.7
1258,Singapore,"Agra & Taj Mahal, UP",7,Budget,Fast,"Taj Mahal, Tomb of Akbar, Agra Fort, Mathura Krishna Janmabhoomi","Watching Taj sunrise, Marble-inlay souvenir shopping",Mixed,Pinch of Spice,Hot Mughlai chicken rolls,Bus,Agra & Taj Mahal Intercity Express,walking,4.3
1259,New York,"New York City, USA",7,Mid-Range,Relaxed,"High Line Park, Central Park, Empire State Building, Brooklyn Bridge","Renting a bicycle in Central Park, Watching a Broadway musical, Walking across the Brooklyn Bridge",Non-Vegetarian,Katz's Delicatessen,Adobada Tacos,Train,New York City Intercity Express,subway,4.7
1260,Hyderabad,"Jaipur, Rajasthan",7,Mid-Range,Moderate,"Jantar Mantar, City Palace, Jal Mahal Lake, Nahargarh Fort","Traditional hand-block printing, Royal fort trekking",Local,Chokhi Dhani resort,Pyaaz Kachori,Bus,Jaipur Intercity Express,private taxi,5.0
1261,Pune,"Jaipur, Rajasthan",7,Budget,Fast,"Jantar Mantar, Hawa Mahal, City Palace, Jal Mahal Lake","Royal fort trekking, Traditional hand-block printing",Mixed,LMB Restaurant Johri,Traditional sweet Malpua,Flight,Germanwings 4U-591,e-rickshaw,4.5
1262,Tokyo,"Paris, France",7,Luxury,Moderate,"Luxembourg Gardens, Eiffel Tower, Notre-Dame Cathedral","Climbing the Eiffel Tower summit, Picnicking in Luxembourg Gardens",Non-Vegetarian,La Maison Rose Montmartre,Gourmet Falafel Pita,Bus,Paris Intercity Express,Paris Metro,4.8
1263,Singapore,"Agra & Taj Mahal, UP",7,Luxury,Fast,"Mehtab Bagh sunset, Tomb of Akbar, Fatehpur Sikri, Taj Mahal","Marble-inlay souvenir shopping, Watching Taj sunrise",Vegetarian,Mama Chicken Franky,Dal Makhani with naans,Bus,Agra & Taj Mahal Intercity Express,walking,4.2
1264,Mumbai,"Bali, Indonesia",7,Mid-Range,Relaxed,"Kelingking Cliff Penida, Uluwatu Cliff Temple, Ubud Monkey Forest","Hiking Mount Batur at sunrise, Participating in water purification",Local,Sun Sun Warung Ubud,Grilled Red Snapper,Flight,Israir 6H-2082,scooter,4.7
1265,Dubai,"Mumbai, Maharashtra",7,Mid-Range,Fast,"Dhobi Ghat Mahalaxmi, Elephanta Island Caves, Chhatrapati Shivaji Terminus, Gateway of India","Vectoring basalt cave temples, Renting bicycles in forest",Local,Trishna seafood diner,Berry Pulav Parsi style,Train,Mumbai Intercity Express,local train,4.3
1266,Chennai,"New Delhi, Delhi NCR",7,Mid-Range,Fast,"Lotus Temple, Red Fort, Qutub Minar, Akshardham Temple","Bargain shopping in Connaught Place, Exploring heritage Lodhi gardens",Non-Vegetarian,Bukhara ITC Maurya,Butter Chicken with garlic naans,Bus,New Delhi Intercity Express,auto-rickshaw,4.6
1267,Ahmedabad,"Kolkata, West Bengal",7,Mid-Range,Relaxed,"Science City, Howrah Bridge, Victoria Memorial, Indian Museum","Taking a yellow taxi ride over Howrah Bridge, Tasting Roshogollas at K.C. Das",Vegetarian,Flurys British Tea Room,Double Egg Chicken Kathi Roll,Train,Kolkata Intercity Express,heritage tram,4.8
1268,Hyderabad,"Agra & Taj Mahal, UP",7,Luxury,Fast,"Taj Mahal, Fatehpur Sikri, Mathura Krishna Janmabhoomi","Exploring massive red-stone forts, Watching Taj sunrise",Local,Sheroes Hangout,Dal Makhani with naans,Train,Agra & Taj Mahal Intercity Express,walking,4.7
1269,London,"Jaipur, Rajasthan",7,Luxury,Fast,"Amber Fort, Hawa Mahal, City Palace","Traditional hand-block printing, Rajasthani folk dance evening",Non-Vegetarian,Tapri The Tea House,Dal Baati Churma Rajasthani,Flight,Germanwings 4U-2102,auto-rickshaw,4.2
1270,Hyderabad,"New York City, USA",7,Mid-Range,Moderate,"Brooklyn Bridge, High Line Park, Empire State Building, Times Square","Walking across the Brooklyn Bridge, Renting a bicycle in Central Park",Local,Los Tacos No. 1 Chelsea,Classic New York Street Slice,Train,New York City Intercity Express,yellow taxi,4.7
1271,Kolkata,"Jaipur, Rajasthan",7,Budget,Moderate,"Jantar Mantar, Jal Mahal Lake, Nahargarh Fort, City Palace","Rajasthani folk dance evening, Traditional hand-block printing, Bapu Bazaar leather shopping",Vegetarian,Tapri The Tea House,Pyaaz Kachori,Flight,Azul AD-2359,private taxi,4.9
1272,Singapore,"Tokyo, Japan",7,Budget,Moderate,"teamLab Planets, Tokyo Skytree, Imperial Palace East Gardens","Taking a Fuji day trip, Anime shopping in Akihabara, Experiencing teamLab digital art",Local,Gyoza Lou Harajuku,Tonkotsu Ramen,Train,Tokyo Intercity Express,subway,4.4
1273,Pune,"New York City, USA",7,Budget,Fast,"Central Park, Brooklyn Bridge, Statue of Liberty, High Line Park","Renting a bicycle in Central Park, Picnicking in Bryant Park, Walking across the Brooklyn Bridge",Local,Joe's Pizza Times Square,Hand-rolled Lox Bagel,Flight,Cebu Pacific 5J-809,citi bike,5.0
1274,San Francisco,"Agra & Taj Mahal, UP",7,Mid-Range,Fast,"Taj Mahal, Fatehpur Sikri, Mathura Krishna Janmabhoomi, Tomb of Akbar","spiritual chanting at temples, Exploring massive red-stone forts, Marble-inlay souvenir shopping",Non-Vegetarian,Sheroes Hangout,Hot Mughlai chicken rolls,Train,Agra & Taj Mahal Intercity Express,walking,4.7
1275,Bengaluru,"Kolkata, West Bengal",7,Mid-Range,Relaxed,"Princep Ghat Boating, Victoria Memorial, Indian Museum","Exploring Kumartuli clay artisan village, Riding a heritage Kolkata tram",Local,6 Ballygunge Place Bengali,Mishti Doi and Sandesh desserts,Bus,Kolkata Intercity Express,heritage tram,4.3
1276,Tokyo,"New York City, USA",7,Mid-Range,Fast,"Brooklyn Bridge, Central Park, Statue of Liberty","Walking across the Brooklyn Bridge, Renting a bicycle in Central Park, Watching a Broadway musical",Non-Vegetarian,Katz's Delicatessen,Adobada Tacos,Flight,Air Berlin AB-994,subway,4.4
1277,Pune,"Paris, France",7,Budget,Fast,"Luxembourg Gardens, Notre-Dame Cathedral, Palace of Versailles","Seine River twilight cruise, Climbing the Eiffel Tower summit",Mixed,Le Comptoir du Relais,Croque-monsieur,Train,Paris Intercity Express,walking,4.9
1278,Ahmedabad,"New Delhi, Delhi NCR",7,Mid-Range,Fast,"Lotus Temple, Red Fort, Akshardham Temple","Rickshaw ride in Chandni Chowk lanes, Exploring heritage Lodhi gardens",Vegetarian,Saravana Bhavan CP,Spicy Chole Bhature,Bus,New Delhi Intercity Express,Delhi Metro,4.2
1279,Mumbai,"New York City, USA",7,Mid-Range,Relaxed,"High Line Park, Statue of Liberty, Empire State Building","Walking across the Brooklyn Bridge, Renting a bicycle in Central Park",Vegetarian,Joe's Pizza Times Square,Hand-rolled Lox Bagel,Bus,New York City Intercity Express,subway,4.3
1280,Chennai,"New Delhi, Delhi NCR",7,Luxury,Fast,"Humayun's Tomb, Lotus Temple, Red Fort, India Gate memorial","Tasting golgappa street foods, Exploring heritage Lodhi gardens, Bargain shopping in Connaught Place",Mixed,Karim's Old Delhi,Dahi Bhalla Chat,Bus,New Delhi Intercity Express,auto-rickshaw,4.5
1281,Mumbai,"Agra & Taj Mahal, UP",7,Budget,Fast,"Tomb of Akbar, Taj Mahal, Mehtab Bagh sunset","Exploring massive red-stone forts, spiritual chanting at temples, Watching Taj sunrise",Vegetarian,Pinch of Spice,Brijwasi Milk Peda,Bus,Agra & Taj Mahal Intercity Express,private taxi,4.6
1282,Ahmedabad,"Rome, Italy",7,Budget,Fast,"St. Peter's Basilica, Vatican Museums, Pantheon, Colosseum","Throwing coins in Trevi Fountain, Hands-on pasta making class, Walking through bohemian Trastevere",Non-Vegetarian,Luzi Trattoria Colosseo,Artisanal Gelato,Flight,Air Canada AC-1636,tram,4.5
1283,San Francisco,"Paris, France",7,Mid-Range,Moderate,"Notre-Dame Cathedral, Luxembourg Gardens, Sacré-Cœur Basilica","Seine River twilight cruise, Boutique shopping in Marais, Picnicking in Luxembourg Gardens",Mixed,Café de Flore,Croque-monsieur,Train,Paris Intercity Express,velib bicycle,4.6
1284,Pune,"Agra & Taj Mahal, UP",7,Mid-Range,Relaxed,"Taj Mahal, Fatehpur Sikri, Agra Fort","Marble-inlay souvenir shopping, spiritual chanting at temples",Local,Sheroes Hangout,Butter Chicken,Flight,IndiGo Airlines 6E-1977,auto-rickshaw,4.7
1285,Paris,"Mumbai, Maharashtra",7,Budget,Fast,"Haji Ali ocean mosque, Dhobi Ghat Mahalaxmi, Gateway of India","Vectoring basalt cave temples, Renting bicycles in forest, Ferry ride across harbor",Local,Leopold Cafe Colaba,Butter Garlic Crab,Bus,Mumbai Intercity Express,yellow-black taxi,4.4
1286,Chennai,"New Delhi, Delhi NCR",7,Budget,Relaxed,"Red Fort, Akshardham Temple, Lotus Temple, Qutub Minar","Bargain shopping in Connaught Place, Tasting golgappa street foods, Rickshaw ride in Chandni Chowk lanes",Non-Vegetarian,Karim's Old Delhi,Stuffed Mixed Paranthas,Bus,New Delhi Intercity Express,Delhi Metro,4.4
1287,London,"Tokyo, Japan",7,Budget,Relaxed,"teamLab Planets, Shibuya Crossing, Meiji Jingu Shrine, Senso-ji Temple","Experiencing teamLab digital art, Taking a Fuji day trip",Local,Gyoza Lou Harajuku,Kaiseki Multi-course,Train,Tokyo Intercity Express,subway,4.6
1288,New Delhi,"Agra & Taj Mahal, UP",7,Luxury,Moderate,"Agra Fort, Fatehpur Sikri, Tomb of Akbar, Mehtab Bagh sunset","spiritual chanting at temples, Exploring massive red-stone forts, Marble-inlay souvenir shopping",Local,Sheroes Hangout,Hot Mughlai chicken rolls,Bus,Agra & Taj Mahal Intercity Express,e-rickshaw,5.0
1289,Dubai,"Mumbai, Maharashtra",7,Mid-Range,Moderate,"Haji Ali ocean mosque, Gateway of India, Marine Drive Queen's Necklace, Chhatrapati Shivaji Terminus","Watching Dabbawalas sort lunches, Vectoring basalt cave temples",Non-Vegetarian,Leopold Cafe Colaba,Sev Puri / Bhel Puri snacks,Bus,Mumbai Intercity Express,metered auto,4.8
1290,San Francisco,"Agra & Taj Mahal, UP",7,Luxury,Moderate,"Fatehpur Sikri, Tomb of Akbar, Mathura Krishna Janmabhoomi","Exploring massive red-stone forts, Watching Taj sunrise",Mixed,Pinch of Spice,Sweet Angoori Petha,Bus,Agra & Taj Mahal Intercity Express,auto-rickshaw,4.5
1291,San Francisco,"Mumbai, Maharashtra",7,Budget,Fast,"Elephanta Island Caves, Haji Ali ocean mosque, Dhobi Ghat Mahalaxmi, Gateway of India","Watching Dabbawalas sort lunches, Vectoring basalt cave temples",Vegetarian,Leopold Cafe Colaba,Sev Puri / Bhel Puri snacks,Train,Mumbai Intercity Express,local train,4.6
1292,Hyderabad,"Jaipur, Rajasthan",7,Mid-Range,Fast,"Jal Mahal Lake, Nahargarh Fort, Amber Fort","Watching Nahargarh sunset view, Bapu Bazaar leather shopping, Royal fort trekking",Non-Vegetarian,Tapri The Tea House,Pyaaz Kachori,Bus,Jaipur Intercity Express,auto-rickshaw,4.2
1293,London,"Jaipur, Rajasthan",7,Mid-Range,Moderate,"Amber Fort, Hawa Mahal, Jal Mahal Lake","Traditional hand-block printing, Rajasthani folk dance evening, Royal fort trekking",Vegetarian,Caffe Palladio,Traditional sweet Malpua,Bus,Jaipur Intercity Express,scooter,4.7
1294,Tokyo,"Mumbai, Maharashtra",7,Budget,Fast,"Elephanta Island Caves, Haji Ali ocean mosque, Marine Drive Queen's Necklace","Renting bicycles in forest, Vectoring basalt cave temples",Non-Vegetarian,Leopold Cafe Colaba,Spicy Vada Pav street food,Train,Mumbai Intercity Express,local train,4.9
1295,Chennai,"Jaipur, Rajasthan",7,Budget,Moderate,"City Palace, Nahargarh Fort, Jantar Mantar","Traditional hand-block printing, Watching Nahargarh sunset view",Non-Vegetarian,Caffe Palladio,Pyaaz Kachori,Bus,Jaipur Intercity Express,scooter,4.5
1296,Kolkata,"Tokyo, Japan",7,Mid-Range,Fast,"Meiji Jingu Shrine, Shibuya Crossing, teamLab Planets, Imperial Palace East Gardens","Walking the Shibuya Scramble, Experiencing teamLab digital art",Local,Daiwa Sushi Tsukiji,Yakitori Skewers,Bus,Tokyo Intercity Express,JR train,4.4
1297,London,"Bali, Indonesia",7,Mid-Range,Fast,"Ubud Monkey Forest, Tegallalang Rice Terraces, Tirta Empul Water Temple","Participating in water purification, Sunset Kecak Fire Dance, Riding a giant valley swing",Vegetarian,Sun Sun Warung Ubud,Nasi Goreng,Flight,Jet Airways 9W-2878,private taxi,4.5
1298,London,"Bali, Indonesia",7,Luxury,Relaxed,"Tirta Empul Water Temple, Uluwatu Cliff Temple, Kelingking Cliff Penida, Tegallalang Rice Terraces","Riding a giant valley swing, Hiking Mount Batur at sunrise",Local,Penida Espresso,Gourmet Smoothie Bowl,Bus,Bali Intercity Express,private taxi,4.9
1299,Ahmedabad,"New York City, USA",7,Budget,Moderate,"High Line Park, Central Park, Times Square, Brooklyn Bridge","Watching a Broadway musical, Picnicking in Bryant Park, Walking across the Brooklyn Bridge",Mixed,Los Tacos No. 1 Chelsea,Hand-rolled Lox Bagel,Bus,New York City Intercity Express,citi bike,4.7
1300,Paris,"Agra & Taj Mahal, UP",7,Luxury,Moderate,"Agra Fort, Mathura Krishna Janmabhoomi, Tomb of Akbar","Marble-inlay souvenir shopping, spiritual chanting at temples",Vegetarian,Pinch of Spice,Sweet Angoori Petha,Flight,Air Burkina 2J-2371,private taxi,4.5
1301,Kolkata,"Mumbai, Maharashtra",7,Luxury,Fast,"Chhatrapati Shivaji Terminus, Dhobi Ghat Mahalaxmi, Marine Drive Queen's Necklace, Gateway of India","Vectoring basalt cave temples, Ferry ride across harbor",Vegetarian,Cafe Mondegar Colaba,Sev Puri / Bhel Puri snacks,Bus,Mumbai Intercity Express,metered auto,4.4
1302,Bengaluru,"Bali, Indonesia",7,Luxury,Relaxed,"Uluwatu Cliff Temple, Tegallalang Rice Terraces, Kelingking Cliff Penida, Tirta Empul Water Temple","Sunset Kecak Fire Dance, Participating in water purification",Non-Vegetarian,Jimbaran Beach Club,Nasi Campur Balinese,Train,Bali Intercity Express,private taxi,4.7
1303,Tokyo,"Kolkata, West Bengal",7,Budget,Fast,"Indian Museum, Victoria Memorial, Princep Ghat Boating, Science City","Watching Hooghly sunset at Princep Ghat, Riding a heritage Kolkata tram",Non-Vegetarian,Arsalan Mughlai Restaurant,Double Egg Chicken Kathi Roll,Train,Kolkata Intercity Express,yellow taxi,4.7
1304,San Francisco,"New Delhi, Delhi NCR",7,Luxury,Fast,"Qutub Minar, Red Fort, Lotus Temple","Bargain shopping in Connaught Place, Exploring heritage Lodhi gardens",Local,Karim's Old Delhi,Spicy Chole Bhature,Bus,New Delhi Intercity Express,Delhi Metro,4.6
1305,Ahmedabad,"Bali, Indonesia",7,Mid-Range,Fast,"Kelingking Cliff Penida, Ubud Monkey Forest, Tegallalang Rice Terraces","Participating in water purification, Riding a giant valley swing",Local,Jimbaran Beach Club,Mie Goreng,Train,Bali Intercity Express,private taxi,4.4
1306,Dubai,"Agra & Taj Mahal, UP",7,Mid-Range,Fast,"Mathura Krishna Janmabhoomi, Taj Mahal, Tomb of Akbar, Agra Fort","Watching Taj sunrise, Exploring massive red-stone forts, spiritual chanting at temples",Mixed,Sheroes Hangout,Butter Chicken,Bus,Agra & Taj Mahal Intercity Express,private taxi,4.5
1307,Tokyo,"New York City, USA",7,Budget,Fast,"Central Park, High Line Park, Statue of Liberty","Renting a bicycle in Central Park, Walking across the Brooklyn Bridge",Local,Los Tacos No. 1 Chelsea,Hand-rolled Lox Bagel,Train,New York City Intercity Express,yellow taxi,4.4
1308,Kolkata,"Kolkata, West Bengal",7,Budget,Moderate,"Princep Ghat Boating, Victoria Memorial, Indian Museum, Science City","Exploring Kumartuli clay artisan village, Riding a heritage Kolkata tram, Taking a yellow taxi ride over Howrah Bridge",Non-Vegetarian,Arsalan Mughlai Restaurant,Chelomesh mixed platter,Flight,Azul AD-1100,walking,4.7
